numbers,product
"(101, 101)",10201
"(101, 111)",11211
"(101, 121)",12221
"(101, 131)",13231
"(101, 141)",14241
"(101, 151)",15251
"(101, 161)",16261
"(101, 171)",17271
"(101, 181)",18281
"(101, 191)",19291
"(101, 202)",20402
"(101, 212)",21412
"(101, 222)",22422
"(101, 232)",23432
"(101, 242)",24442
"(101, 252)",25452
"(101, 262)",26462
"(101, 272)",27472
"(101, 282)",28482
"(101, 292)",29492
"(101, 303)",30603
"(101, 313)",31613
"(101, 323)",32623
"(101, 333)",33633
"(101, 343)",34643
"(101, 353)",35653
"(101, 363)",36663
"(101, 373)",37673
"(101, 383)",38683
"(101, 393)",39693
"(101, 404)",40804
"(101, 414)",41814
"(101, 424)",42824
"(101, 434)",43834
"(101, 444)",44844
"(101, 454)",45854
"(101, 464)",46864
"(101, 474)",47874
"(101, 484)",48884
"(101, 494)",49894
"(102, 201)",20502
"(102, 206)",21012
"(102, 407)",41514
"(102, 412)",42024
"(102, 613)",62526
"(102, 618)",63036
"(102, 819)",83538
"(102, 824)",84048
"(103, 204)",21012
"(103, 254)",26162
"(103, 408)",42024
"(103, 458)",47174
"(103, 612)",63036
"(103, 662)",68186
"(103, 816)",84048
"(103, 866)",89198
"(104, 203)",21112
"(104, 268)",27872
"(104, 406)",42224
"(104, 471)",48984
"(104, 609)",63336
"(104, 777)",80808
"(104, 812)",84448
"(104, 847)",88088
"(105, 481)",50505
"(105, 507)",53235
"(105, 531)",55755
"(105, 557)",58485
"(106, 202)",21412
"(106, 222)",23532
"(106, 242)",25652
"(106, 262)",27772
"(106, 282)",29892
"(106, 384)",40704
"(106, 404)",42824
"(106, 424)",44944
"(107, 236)",25252
"(107, 422)",45154
"(107, 608)",65056
"(107, 691)",73937
"(107, 877)",93839
"(108, 259)",27972
"(108, 274)",29592
"(108, 433)",46764
"(108, 448)",48384
"(108, 592)",63936
"(108, 607)",65556
"(108, 622)",67176
"(108, 766)",82728
"(108, 781)",84348
"(109, 139)",15151
"(109, 594)",64746
"(109, 683)",74447
"(109, 733)",79897
"(109, 772)",84148
"(109, 822)",89598
"(109, 911)",99299
"(111, 111)",12321
"(111, 121)",13431
"(111, 131)",14541
"(111, 141)",15651
"(111, 151)",16761
"(111, 161)",17871
"(111, 171)",18981
"(111, 182)",20202
"(111, 192)",21312
"(111, 202)",22422
"(111, 212)",23532
"(111, 222)",24642
"(111, 232)",25752
"(111, 242)",26862
"(111, 252)",27972
"(111, 273)",30303
"(111, 283)",31413
"(111, 293)",32523
"(111, 303)",33633
"(111, 313)",34743
"(111, 323)",35853
"(111, 333)",36963
"(111, 364)",40404
"(111, 374)",41514
"(111, 384)",42624
"(111, 394)",43734
"(111, 404)",44844
"(111, 414)",45954
"(111, 455)",50505
"(111, 465)",51615
"(111, 475)",52725
"(111, 485)",53835
"(111, 495)",54945
"(111, 546)",60606
"(111, 556)",61716
"(111, 566)",62826
"(111, 576)",63936
"(111, 637)",70707
"(111, 647)",71817
"(111, 657)",72927
"(111, 728)",80808
"(111, 738)",81918
"(111, 819)",90909
"(112, 211)",23632
"(112, 266)",29792
"(112, 377)",42224
"(112, 432)",48384
"(112, 588)",65856
"(112, 754)",84448
"(113, 244)",27572
"(113, 438)",49494
"(113, 455)",51415
"(113, 649)",73337
"(113, 699)",78987
"(113, 716)",80908
"(113, 843)",95259
"(114, 233)",26562
"(114, 381)",43434
"(114, 529)",60306
"(114, 599)",68286
"(114, 614)",69996
"(114, 747)",85158
"(114, 762)",86868
"(115, 455)",52325
"(115, 469)",53935
"(115, 491)",56465
"(116, 182)",21112
"(116, 202)",23432
"(116, 222)",25752
"(116, 364)",42224
"(116, 384)",44544
"(116, 404)",46864
"(116, 526)",61016
"(116, 546)",63336
"(116, 566)",65656
"(116, 586)",67976
"(116, 708)",82128
"(116, 728)",84448
"(116, 748)",86768
"(117, 246)",28782
"(117, 259)",30303
"(117, 455)",53235
"(117, 518)",60606
"(117, 651)",76167
"(117, 714)",83538
"(117, 777)",90909
"(117, 847)",99099
"(118, 184)",21712
"(118, 214)",25252
"(118, 398)",46964
"(118, 547)",64546
"(118, 577)",68086
"(118, 696)",82128
"(118, 761)",89798
"(119, 129)",15351
"(119, 376)",44744
"(119, 455)",54145
"(119, 584)",69496
"(119, 702)",83538
"(119, 831)",98889
"(121, 121)",14641
"(121, 131)",15851
"(121, 182)",22022
"(121, 192)",23232
"(121, 202)",24442
"(121, 212)",25652
"(121, 222)",26862
"(121, 273)",33033
"(121, 283)",34243
"(121, 293)",35453
"(121, 303)",36663
"(121, 313)",37873
"(121, 364)",44044
"(121, 374)",45254
"(121, 384)",46464
"(121, 394)",47674
"(121, 404)",48884
"(121, 455)",55055
"(121, 465)",56265
"(121, 475)",57475
"(121, 485)",58685
"(121, 495)",59895
"(121, 546)",66066
"(121, 556)",67276
"(121, 566)",68486
"(121, 576)",69696
"(121, 637)",77077
"(121, 647)",78287
"(121, 657)",79497
"(121, 728)",88088
"(121, 738)",89298
"(121, 819)",99099
"(121, 881)",106601
"(121, 991)",119911
"(122, 221)",26962
"(122, 226)",27572
"(122, 231)",28182
"(122, 332)",40504
"(122, 337)",41114
"(122, 563)",68686
"(122, 568)",69296
"(122, 669)",81618
"(122, 674)",82228
"(123, 147)",18081
"(123, 234)",28782
"(123, 271)",33333
"(123, 542)",66666
"(123, 579)",71217
"(123, 666)",81918
"(123, 726)",89298
"(123, 813)",99999
"(123, 957)",117711
"(124, 193)",23932
"(124, 356)",44144
"(124, 391)",48484
"(124, 514)",63736
"(124, 712)",88288
"(125, 417)",52125
"(125, 421)",52625
"(125, 459)",57375
"(125, 463)",57875
"(126, 202)",25452
"(126, 222)",27972
"(126, 384)",48384
"(126, 481)",60606
"(126, 643)",81018
"(126, 663)",83538
"(127, 206)",26162
"(127, 299)",37973
"(127, 342)",43434
"(127, 478)",60706
"(127, 548)",69596
"(127, 591)",75057
"(127, 684)",86868
"(127, 727)",92329
"(128, 318)",40704
"(128, 333)",42624
"(128, 348)",44544
"(128, 363)",46464
"(128, 378)",48384
"(129, 267)",34443
"(129, 386)",49794
"(129, 415)",53535
"(129, 534)",68886
"(129, 563)",72627
"(129, 682)",87978
"(129, 711)",91719
"(131, 192)",25152
"(131, 202)",26462
"(131, 212)",27772
"(131, 283)",37073
"(131, 293)",38383
"(131, 303)",39693
"(132, 166)",21912
"(132, 176)",23232
"(132, 352)",46464
"(132, 463)",61116
"(132, 528)",69696
"(132, 639)",84348
"(133, 164)",21812
"(133, 224)",29792
"(133, 281)",37373
"(133, 502)",66766
"(133, 559)",74347
"(134, 153)",20502
"(134, 208)",27872
"(134, 346)",46364
"(134, 499)",66866
"(134, 637)",85358
"(135, 407)",54945
"(135, 413)",55755
"(135, 419)",56565
"(135, 425)",57375
"(135, 431)",58185
"(136, 202)",27472
"(136, 309)",42024
"(136, 329)",44744
"(136, 511)",69496
"(136, 618)",84048
"(136, 638)",86768
"(137, 143)",19591
"(137, 146)",20002
"(137, 216)",29592
"(137, 219)",30003
"(137, 289)",39593
"(137, 292)",40004
"(137, 362)",49594
"(137, 365)",50005
"(137, 435)",59595
"(137, 438)",60006
"(137, 508)",69596
"(137, 511)",70007
"(137, 581)",79597
"(137, 584)",80008
"(137, 654)",89598
"(137, 657)",90009
"(137, 727)",99599
"(137, 803)",110011
"(138, 303)",41814
"(138, 333)",45954
"(138, 437)",60306
"(138, 467)",64446
"(138, 497)",68586
"(138, 631)",87078
"(139, 178)",24742
"(139, 287)",39893
"(139, 375)",52125
"(139, 444)",61716
"(139, 484)",67276
"(139, 553)",76867
"(139, 759)",105501
"(141, 192)",27072
"(141, 202)",28482
"(141, 212)",29892
"(142, 478)",67876
"(142, 483)",68586
"(142, 488)",69296
"(142, 584)",82928
"(142, 589)",83638
"(142, 594)",84348
"(142, 599)",85058
"(143, 154)",22022
"(143, 231)",33033
"(143, 308)",44044
"(143, 385)",55055
"(143, 462)",66066
"(143, 539)",77077
"(143, 616)",88088
"(143, 693)",99099
"(143, 707)",101101
"(143, 777)",111111
"(143, 847)",121121
"(143, 917)",131131
"(143, 987)",141141
"(144, 148)",21312
"(144, 188)",27072
"(144, 296)",42624
"(144, 336)",48384
"(144, 444)",63936
"(144, 484)",69696
"(144, 557)",80208
"(145, 349)",50605
"(145, 365)",52925
"(145, 395)",57275
"(145, 411)",59595
"(146, 157)",22922
"(146, 202)",29492
"(146, 274)",40004
"(146, 294)",42924
"(146, 339)",49494
"(146, 411)",60006
"(146, 431)",62926
"(146, 476)",69496
"(146, 548)",80008
"(146, 568)",82928
"(146, 613)",89498
"(147, 292)",42924
"(147, 448)",65856
"(147, 481)",70707
"(147, 604)",88788
"(147, 637)",93639
"(148, 159)",23532
"(148, 174)",25752
"(148, 189)",27972
"(148, 273)",40404
"(148, 288)",42624
"(148, 303)",44844
"(148, 417)",61716
"(148, 432)",63936
"(148, 546)",80808
"(149, 503)",74947
"(149, 562)",83738
"(149, 602)",89698
"(149, 621)",92529
"(149, 661)",98489
"(151, 477)",72027
"(151, 487)",73537
"(151, 578)",87278
"(151, 588)",88788
"(152, 196)",29792
"(152, 307)",46664
"(152, 317)",48184
"(152, 418)",63536
"(152, 428)",65056
"(152, 529)",80408
"(153, 375)",57375
"(153, 412)",63036
"(153, 509)",77877
"(153, 546)",83538
"(154, 183)",28182
"(154, 286)",44044
"(154, 429)",66066
"(154, 572)",88088
"(155, 333)",51615
"(155, 361)",55955
"(155, 363)",56265
"(156, 259)",40404
"(156, 314)",48984
"(156, 406)",63336
"(156, 518)",80808
"(156, 553)",86268
"(157, 166)",26062
"(157, 229)",35953
"(157, 249)",39093
"(157, 312)",48984
"(157, 451)",70807
"(157, 534)",83838
"(157, 617)",96869
"(157, 693)",108801
"(157, 913)",143341
"(158, 179)",28282
"(158, 273)",43134
"(158, 303)",47874
"(158, 397)",62726
"(158, 546)",86268
"(159, 188)",29892
"(159, 256)",40704
"(159, 453)",72027
"(159, 493)",78387
"(159, 601)",95559
"(161, 325)",52325
"(161, 335)",53935
"(161, 426)",68586
"(163, 184)",29992
"(163, 365)",59495
"(163, 422)",68786
"(163, 603)",98289
"(163, 627)",102201
"(164, 178)",29192
"(164, 271)",44444
"(164, 409)",67076
"(164, 502)",82328
"(164, 542)",88888
"(165, 311)",51315
"(165, 333)",54945
"(165, 341)",56265
"(165, 363)",59895
"(166, 244)",40504
"(166, 289)",47974
"(166, 401)",66566
"(166, 513)",85158
"(167, 176)",29392
"(167, 199)",33233
"(167, 398)",66466
"(167, 421)",70307
"(167, 597)",99699
"(168, 288)",48384
"(168, 377)",63336
"(168, 392)",65856
"(168, 481)",80808
"(169, 315)",53235
"(169, 355)",59995
"(169, 364)",61516
"(169, 581)",98189
"(171, 254)",43434
"(171, 498)",85158
"(171, 508)",86868
"(173, 181)",31313
"(173, 268)",46364
"(173, 362)",62626
"(173, 449)",77677
"(173, 543)",93939
"(173, 957)",165561
"(174, 256)",44544
"(174, 364)",63336
"(174, 472)",82128
"(175, 299)",52325
"(175, 329)",57575
"(176, 229)",40304
"(176, 264)",46464
"(176, 361)",63536
"(176, 396)",69696
"(176, 458)",80608
"(176, 493)",86768
"(177, 315)",55755
"(177, 335)",59295
"(177, 464)",82128
"(177, 557)",98589
"(178, 248)",44144
"(178, 387)",68886
"(178, 471)",83838
"(178, 496)",88288
"(179, 285)",51015
"(179, 364)",65156
"(179, 443)",79297
"(179, 452)",80908
"(179, 869)",155551
"(181, 274)",49594
"(181, 346)",62626
"(181, 437)",79097
"(181, 509)",92129
"(181, 519)",93939
"(182, 222)",40404
"(182, 227)",41314
"(182, 232)",42224
"(182, 237)",43134
"(182, 242)",44044
"(182, 333)",60606
"(182, 338)",61516
"(182, 343)",62426
"(182, 348)",63336
"(182, 353)",64246
"(182, 358)",65156
"(182, 363)",66066
"(182, 444)",80808
"(182, 449)",81718
"(182, 454)",82628
"(182, 459)",83538
"(182, 464)",84448
"(182, 469)",85358
"(182, 474)",86268
"(182, 479)",87178
"(182, 484)",88088
"(183, 409)",74847
"(183, 446)",81618
"(184, 241)",44344
"(184, 437)",80408
"(184, 482)",88688
"(185, 273)",50505
"(185, 279)",51615
"(185, 285)",52725
"(185, 291)",53835
"(185, 297)",54945
"(186, 473)",87978
"(187, 222)",41514
"(187, 242)",45254
"(187, 464)",86768
"(187, 683)",127721
"(187, 713)",133331
"(187, 903)",168861
"(187, 933)",174471
"(187, 963)",180081
"(188, 238)",44744
"(188, 461)",86668
"(189, 256)",48384
"(189, 295)",55755
"(189, 403)",76167
"(189, 442)",83538
"(189, 481)",90909
"(191, 193)",36863
"(191, 275)",52525
"(191, 458)",87478
"(192, 212)",40704
"(192, 222)",42624
"(192, 232)",44544
"(192, 242)",46464
"(192, 252)",48384
"(192, 333)",63936
"(192, 343)",65856
"(192, 353)",67776
"(192, 363)",69696
"(193, 258)",49794
"(193, 369)",71217
"(193, 436)",84148
"(193, 503)",97079
"(193, 737)",142241
"(195, 259)",50505
"(195, 273)",53235
"(196, 219)",42924
"(196, 336)",65856
"(196, 453)",88788
"(197, 222)",43734
"(197, 242)",47674
"(197, 361)",71117
"(197, 381)",75057
"(198, 327)",64746
"(198, 352)",69696
"(198, 426)",84348
"(198, 451)",89298
"(199, 236)",46964
"(199, 334)",66466
"(199, 501)",99699
"(201, 295)",59295
"(201, 397)",79797
"(201, 489)",98289
"(202, 202)",40804
"(202, 207)",41814
"(202, 212)",42824
"(202, 217)",43834
"(202, 222)",44844
"(202, 227)",45854
"(202, 232)",46864
"(202, 237)",47874
"(202, 242)",48884
"(202, 247)",49894
"(203, 208)",42224
"(203, 312)",63336
"(203, 416)",84448
"(204, 206)",42024
"(204, 309)",63036
"(204, 412)",84048
"(205, 271)",55555
"(206, 229)",47174
"(206, 306)",63036
"(206, 331)",68186
"(206, 408)",84048
"(206, 433)",89198
"(207, 222)",45954
"(207, 447)",92529
"(207, 467)",96669
"(208, 406)",84448
"(209, 275)",57475
"(209, 304)",63536
"(209, 489)",102201
"(209, 659)",137731
"(209, 739)",154451
"(209, 819)",171171
"(209, 909)",189981
"(209, 978)",204402
"(211, 214)",45154
"(211, 326)",68786
"(211, 439)",92629
"(212, 212)",44944
"(213, 322)",68586
"(213, 359)",76467
"(213, 396)",84348
"(213, 433)",92229
"(214, 304)",65056
"(215, 241)",51815
"(215, 249)",53535
"(215, 257)",55255
"(216, 224)",48384
"(216, 296)",63936
"(216, 311)",67176
